id,link,title,content,db1_overall,l.berrangford_db1,apfisch_db1,ee18ivc_db1,miriam_db1,db2_overall,l.berrangford_db2,apfisch_db2,ee18ivc_db2,miriam_db2,l.berrangford_notes,apfisch_notes,ee18ivc_notes,miriam_notes
495201,https://apsis.mcc-berlin.net/scoping/document/193/495201/,Climate risk management in river-based tilapia cage culture in northern Thailand,"Purpose - The purpose of this paper is to analyse how fish farmers manage climate-related risks and explore possible ways to strengthen risk management under current and future climate. Design/methodology/approach - In total, 662 fish farmers in sites across Northern Thailand were interviewed about risks to the profitability of their fish farms and ways such risks were managed. Nonlinear canonical correlation analysis was used to relate risk factors to management practices at farm and river levels. In total, 68 in-depth interviews with farmers and other stakeholders provided additional information on climate risk management practices. Findings - Farmers use a combination of adjustments to rearing practices, cropping calendars and financial and social measures to manage those risks, which they perceive as being manageable. Many risks are season, river and place specific; implying that the risk profiles of individual farms can vary substantially. Individual risks are often addressed through multiple practices and strategies; conversely, a particular management practice can have a bearing on several different risks. Farmers recognize that risks must be managed at farm and higher spatial and administrative scales. Social relations and information play critical roles in managing these complex combinations of risks. Originality/value - This is one of the first papers to report in detail on how inland fish farmers manage climate-related risks. It underlines the need to consider multiple spatial and temporal scales and that farmers do not manage individual climate-related risks in isolation from other risks.",Yes,Yes,Yes,Yes,Yes,Mixed/Maybe,No,Yes,Yes,Yes,,,,
549816,https://apsis.mcc-berlin.net/scoping/document/193/549816/,A primer in ecoimmunology and immunology for wildlife research and management,"Two predictions of changing climate are the emergence of new diseases and the expansion of the ranges of existing parasites. Variation among individuals, especially in response to parasites, directly affects population dynamics and how populations respond to management. Immune function, therefore is a key individual-level trait that influences demographic characteristics and life-history traits because it directly affects the survival outcome of a parasitic challenge. Mounting an immune response is expensive in energy and resources and, thus, the principle of allocation predicts that trade-offs will occur with other energetically demanding tasks, such as survival or reproduction. Therefore, understanding immune function in wild animals is important for predicting how animal populations will respond to management, and we recommend that managers integrate data on immune function into larger studies of population dynamics and management of populations. In this review, we introduce how types of immune function are classified within traditional immunology and the emerging field of ecological immunology (ecoimmunology). We also review the resources available to wildlife managers for learning about techniques in ecoimmunology, and provide guidance for developing studies of immune function within larger projects on demography among populations.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
631862,https://apsis.mcc-berlin.net/scoping/document/193/631862/,"Age and growth in the Australian freshwater mussel, Westralunio carteri, with an evaluation of the fluorochrome calcein for validating the assumption of annulus formation","Growth and longevity of freshwater mussels (Unionida) are important for defining life-history strategies and assessing vulnerability to human impacts. We used mark-recapture and analysis of shell rings to investigate age and growth of the hyriid, Westralunio carteri, at 5 sites in southwestern Australia. We tested the utility of the in situ marker calcein for validating the assumption of annulus formation in adults. Calcein was incorporated into the shells of all recovered individuals, but it provided an interpretable reference mark in only 4 of 16 individuals. These 4 individuals produced 1 shell ring subsequent to the mark, supporting the assumption of annulus production during the austral winter. Maximum age ranged among populations from 36 to 52 y and maximum size ranged from 72.9 to 82.8 mm. Mean age and length did not differ between sexes, and growth trajectories differed between sexes at only 1 site. Estimates of growth measured by the von Bertalanffy growth constant, K, ranged from 0.021 to 0.336 among sites. Estimates from mark-recapture experiments were 20 to 52% lower than values from shell annuli at all sites except 1 where K from shell annuli was similar to 1/2 that estimated from mark-recapture. Both methods showed a positive relationship between K and mean water temperature among sites, suggesting a role of riparian shading in regulating stream temperature, and hence, indirectly influencing mussel growth. Mussel growth and mean N or P concentrations were not related among sites, but total N at the site with highest mussel growth was >2x higher than at any other site. Westralunio carteri is a long-lived, slow-growing bivalve. Maximum age, K, and probable age at maturity (4-6 y) are similar to other slow-growing freshwater bivalve groups. This suite of life-history traits is considered an adaptation for stable aquatic habitats. Therefore, W. carteri can be expected to adapt poorly to human impacts, such as riparian clearing and water extraction, which increase the temporal variability of environmental conditions in streams.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
649460,https://apsis.mcc-berlin.net/scoping/document/193/649460/,"Climate change 2014 impacts, adaptation, and vulnerability Part B: Regional aspects: Working group ii contribution to the fifth assessment report of the intergovernmental panel on climate change","This latest Fifth Assessment Report of the Intergovernmental Panel on Climate Change (IPCC) again forms the standard scientific reference for all those concerned with the environmental and social consequences of climate change, including students and researchers across the natural and social sciences, professionals in medicine and law, and practitioners in environmental planning, resource management, development, disaster risk reduction, and adaptation. It provides relevant material for decision makers and stakeholders at all levels of government, NGOs, and the private sector worldwide. This assessment provides information on: • Impacts of climate changes that have already occurred and risks of future impacts; • Vulnerabilities and interactions that make some climate events devastating, while others pass with little notice; • Risks of climate change impacts for the health and security of people and ecosystems; • Risks of climate change impacts for human activities; • Prospects for adaptation, including opportunities, barriers, and financing; • Regional and sectoral key risks and vulnerabilities. © Intergovernmental Panel on Climate Change 2014.",Mixed,Yes,No,No,No,Mixed/Maybe,Yes,Unrated,Unrated,Unrated,,,,Is this just AR5?
698095,https://apsis.mcc-berlin.net/scoping/document/193/698095/,Viewing forests through the lens of complex systems science,"Complex systems science provides a transdisciplinary framework to study systems characterized by (1) heterogeneity, (2) hierarchy, (3) self-organization, (4) openness, (5) adaptation, (6) memory, (7) non-linearity, and (8) uncertainty. Complex systems thinking has inspired both theory and applied strategies for improving ecosystem resilience and adaptability, but applications in forest ecology and management are just beginning to emerge. We review the properties of complex systems using four well-studied forest biomes (temperate, boreal, tropical and Mediterranean) as examples. The lens of complex systems science yields insights into facets of forest structure and dynamics that facilitate comparisons among ecosystems. These biomes share the main properties of complex systems but differ in specific ecological properties, disturbance regimes, and human uses. We show how this approach can help forest scientists and managers to conceptualize forests as integrated social-ecological systems and provide concrete examples of how to manage forests as complex adaptive systems.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,                 Theory   ,,,seems theoretical       
699017,https://apsis.mcc-berlin.net/scoping/document/193/699017/,Effects of an extensive fire on arboreal small mammal populations in a neotropical savanna woodland,"Fire is a major form of disturbance in terrestrial ecosystems, mainly in tropical savannas. In these ecosystems, the effects of large wildfires are potentially high on small and relatively less mobile animals, like small mammals. We investigated the effects of an extensive wildfire (approximate to 6,240 ha) in September 2011 on populations of 2 arboreal-scansorial small mammals-the gracile mouse opossum, Gracilinanus agilis, and the long-tailed climbing mouse, Rhipidomys macrurus-in 4 savanna woodland patches (1 burned, 3 unburned) of the highly threatened Brazilian Cerrado. We assessed population densities from 2009 to 2013 and for G. agilis, we estimated apparent survival and recapture probabilities with Cormack-Jolly-Seber models. Both species showed strong, negative fire responses, including sudden collapse and slow recovery (at least more than 1 year). These observed responses were probably a consequence of both the phytophysiognomic features of the habitat and severity of the fire with the resulting changes on the vertical structure of vegetation. The studied species of Cerrado forested formations were not as resilient to fire disturbance as typical species from savanna or temperate woodlands. As a consequence of human activities and climate changes, fire events are predicted to become larger and more frequent in the Brazilian Cerrado. Therefore, it is imperative to create new management strategies to protect forested physiognomies from fire, especially cerradao, which is very fire sensitive and has a limited and scattered distribution in the landscape.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
721582,https://apsis.mcc-berlin.net/scoping/document/193/721582/,"Neurobehavioral Deficits, Diseases, and Associated Costs of Exposure to Endocrine-Disrupting Chemicals in the European Union","Context: Epidemiological studies and animal models demonstrate that endocrine-disrupting chemicals (EDCs) contribute to cognitive deficits and neurodevelopmental disabilities. Objective: The objective was to estimate neurodevelopmental disability and associated costs that can be reasonably attributed to EDC exposure in the European Union. Design: An expert panel applied a weight-of-evidence characterization adapted from the Intergovernmental Panel on Climate Change. Exposure-response relationships and reference levels were evaluated for relevant EDCs, and biomarker data were organized from peer-reviewed studies to represent European exposure and approximate burden of disease. Cost estimation as of 2010 utilized lifetime economic productivity estimates, lifetime cost estimates for autism spectrum disorder, and annual costs for attention-deficit hyperactivity disorder. Setting, Patients and Participants, and Intervention: Cost estimation was carried out from a societal perspective, ie, including direct costs (eg, treatment costs) and indirect costs such as productivity loss. Results: The panel identified a 70-100% probability that polybrominated diphenyl ether and organophosphate exposures contribute to IQ loss in the European population. Polybrominated diphenyl ether exposures were associated with 873 000 (sensitivity analysis, 148 000 to 2.02 million) lost IQ points and 3290 (sensitivity analysis, 3290 to 8080) cases of intellectual disability, at costs of (sic) 9.59 billion (sensitivity analysis, (sic)1.58 billion to (sic)22.4 billion). Organophosphate exposures were associated with 13.0 million (sensitivity analysis, 4.24 million to 17.1 million) lost IQ points and 59 300 (sensitivity analysis, 16 500 to 84 400) cases of intellectual disability, at costs of (sic)146 billion (sensitivity analysis, (sic)46.8 billion to (sic)194 billion). Autism spectrum disorder causation by multiple EDCs was assigned a 20-39% probability, with 316 (sensitivity analysis, 126-631) attributable cases at a cost of (sic)199 million (sensitivity analysis, (sic)79.7 million to (sic)399 million). Attention-deficit hyperactivity disorder causation by multiple EDCs was assigned a 20-69% probability, with 19 300 to 31 200 attributable cases at a cost of (sic)1.21 billion to (sic)2.86 billion. Conclusions: EDC exposures in Europe contribute substantially to neurobehavioral deficits and disease, with a high probability of >(sic)150 billion costs/year. These results emphasize the advantages of controlling EDC exposure.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
746124,https://apsis.mcc-berlin.net/scoping/document/193/746124/,Climate change and thermal comfort in Southern Europe housing: A case study from Lisbon,"The world has been experiencing a significant increase in daily average temperatures per decade and climate change scenarios are projecting high probability of more frequent heat waves. In vulnerable regions, like Southern Europe, where most of the residential buildings still rely on natural ventilation for cooling, impact on thermal comfort can be significant in terms of health, well-being and also energy consumption. The question is particularly important for the existing building stock, which was not designed considering the projected future climate conditions and is prone to be subjected to interventions with the purpose of improving thermal. performance. The study presents a vulnerability framework and methodology for the assessment of thermal comfort in existing dwellings in the context of climate change. Results relating to a 1960s typical building case study in Lisbon, Portugal, suggest that specific dwelling characteristics, such as orientation, and occupancy profiles are relevant when assessing vulnerability, suggesting significant differences, of up to 91% in discomfort hours on an annual basis. Furthermore, increased insulation seems to be effective in decreasing discomfort, as the best results (48% in discomfort hours decrease) stem from a context of external insulation for a heatwave situation. The methodology can be useful for assessing vulnerability in existing dwellings and its specific conditions. It can also contribute to understanding the effect of energy retrofitting measures in future climate conditions, assisting energy efficiency policies and decision-making regarding retrofit interventions. (C) 2015 Elsevier Ltd. All rights reserved.",Mixed,No,Yes,Maybe,Yes,Mixed/Maybe,Unrated,Maybe,Unrated,Yes,"vulnerability assessment, but nothing on responses.",  not clear whether documenting responses                  ,,
768711,https://apsis.mcc-berlin.net/scoping/document/193/768711/,Beliefs and values explain international differences in perception of solar radiation management: insights from a cross-country survey,"Solar radiation management (SRM) aims to counteract the negative consequences of global warming and is considered for deployment in the event that mitigation and adaptation efforts appear insufficient. However, because the potential ecological and political side effects of SRM are not well understood, and because SRM will cross national boundaries, an international research perspective on the general public's perception of this technology is required. We conducted an online survey on the general public's perception and acceptance of SRM in Canada, China, Germany, Switzerland, the UK, and the USA. Our findings confirmed the need for an international perspective, as we found several cross-country differences. Chinese respondents, for example, indicated greater acceptance for SRM than their North American and European counterparts. Moreover, results of regression analyses on acceptance of SRM by country revealed that lower acceptability ratings for SRM in Canada and Europe were mostly related to stronger beliefs that SRM tampers with nature. Chinese respondents, by contrast, were more accepting of SRM when they held stronger beliefs that it may reduce the motivation to adopt burdensome climate change mitigation efforts. Although our research-and previous studies-suggest that opposition to SRM remains, dismissing the technology entirely on these grounds and without conducting a careful, cross-national, and transdisciplinary decision-support process to set up an international policy regime seems premature as people from countries that are less prepared to mitigate and adapt to climate change seem to be more supportive of SRM.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated, Mitigation focused                   ,,,
771910,https://apsis.mcc-berlin.net/scoping/document/193/771910/,Spatiotemporal change and trend analysis of potential evapotranspiration over the Loess Plateau of China during 2011-2100,"The spatiotemporal change and trend of annual potential evapotranspiration (PET) over the Loess Plateau of China from 2011 to 2100 are assessed in this work. PET is calculated using the Hargreaves model with monthly mean, maximum, and minimum temperatures and a 1 km spatial resolution, which are generated using the Delta downscaling method and general circulation models (GCMs) with four representative concentration pathway (RCP) scenarios. The PET trend is detected via Mann-Kendall and Sen's slope estimator tests. The following results are drawn: (1) the Delta downscaling method shows a favorable performance in detecting GCM monthly temperatures based on the mean absolute error and regression analysis between downscaled data and independent surface observations. Among the 28 GCMs, the NorESM1-M and GISS-E2-R models show the best performance in reproducing the monthly mean/maximum and minimum temperatures over the Loess Plateau, respectively; (2) the average annual PET over this region will increase by 12.7%-23.9% from 1961 to 1990 to the end of this century (2071-2100). However, these increments show strong spatial variations; (3) the annual PET during the 2011-2100 period at each grid of the region demonstrates a significantly increasing trend under each RCP scenario, while RCP2.6, RCP4.5, RCP6.0, and RCP8.5 have average magnitudes of trend of 10.4 mm/10yr, 17.7 mm/10yr, 21 mm/10yr, and 29.7 min/10yr, respectively; (4) the annual PET with significant trends during the other three periods (2011-2040, 2041-2070, and 2071-2100) presentvarious spatial distributions in their magnitudes of trend under the aforementioned RCP scenarios. RCP2.6 showed a significant decrease during 2041-2070 and 2071-2100, although such trends are only observed at 0.3% and 1.2% of the Loess Plateau, respectively; and (5) the spatial results provide some information, such as locations and area ratios, which are valuable in assessing future PET changes and trends. These spatiotemporal results represent the PET changes and trends in detail and provide insights for developing flexible adaptation and mitigation strategies to combat the effects of global warming in this region. (C) 2016 Elsevier B.V. All rights reserved.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,impacts-focused                    ,,,
775331,https://apsis.mcc-berlin.net/scoping/document/193/775331/,The impacts of key adverse weather events on the field-grown vegetable yield variability in the Czech Republic from 1961 to 2014,"The response of field-grown vegetables to adverse weather conditions is strongly coupled to the timing of adverse events, the sensitivity of the growth stage of the impacted crop and the management actions that are taken. To estimate the long-term yield response to changes in temperature and precipitation as well as the short-term response to key adverse weather events (e.g. heavy precipitation, drought and heat stress) on the yields of vegetable crops, we used several statistical approaches with six daily impact-indicators, the four monthly drought indices and the climate trends. Our study integrated a newly available historical yield dataset at the district level (the finest spatial resolution) for all highly marketable vegetables (celeriac, late carrots, root parsley, early kohlrabi, summer savoy cabbage, late cauliflower, late cabbage, onions, green peas, tomatoes, salad and pickling cucumbers) and a high-resolution historical climate dataset (seven daily meteorological variables at a 10x10km resolution) over a 54-year period in the Czech Republic (CZ). Different indices were used to reflect different dimensions of water and heat stress, which have different impacts on vegetable growth and yield. We find positive long-term impacts of recent warming on fruiting vegetables (from 4.9 to 12.2%degrees C-1) but decreases in the yield stability of traditionally grown root vegetables in the warmest areas of the country. Short-term extreme temperature variabilities (days with heat stress) were found to be the dominant type of adverse event for tomato and cucumber production due to its effect on increased soil water demand, which increased transpiration rates, whereas changes in both the diurnal temperature ranges and minimum temperature (Tmin) were associated with minimal risk of frost damage. Brassicas vegetables are widely irrigated in the CZ, but irrigation does not fully mitigate drought effects; hence, short-term extreme precipitation variability largely controls crop production in the growing districts. The high frequencies of dry days and days with heavy precipitation within the critical growth stages of brassicas reflect a competition between more dry days and greater precipitation intensity on wet days. The yield variability of bulbs is largely explained by both short-term extreme precipitation and temperature variability (drought-heat stress), which reflects the predominantly rain-fed system of onion cultivation. Both drought and heat stress and changes in Tmin were important in explaining yield losses of root vegetables. Legumes had the lowest risk of multiple stresses during their short growth cycle, but droughts remain the dominant type of adverse event. Years with yield gains were substantially more common than years with yield losses for brassicas, bulbs and legumes vegetables in all of the cultivated regions.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
787315,https://apsis.mcc-berlin.net/scoping/document/193/787315/,Integrating the social sciences to enhance climate literacy,"The climate literacy movement aspires to help members of the general public understand the global climate system, locate and assess scientifically credible climatic information, communicate about climate change in an educated and objective manner, and make informed and responsible decisions in response to climate-change impacts. When these goals are not met, society will likely be further imperiled by the effects of a changing climate. Climate literacy programs have traditionally promoted education on the biophysical science of the climate system but have largely failed to integrate relevant knowledge from the social sciences. We argue that understanding human behavior and the social drivers of climate change are essential for the public to fully appreciate the climate system, and that this knowledge can inform decision making related to climate-change mitigation and adaptation. Teaching students to evaluate different forms of evidence will also improve climate literacy and lead them to ask how scientists know what they know. Finally, we suggest two new social science principles that could advance interdisciplinary climate literacy goals.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,Not empirical                    ,,, seems too theoretical                    
799776,https://apsis.mcc-berlin.net/scoping/document/193/799776/,Spatial Optimization of Future Urban Development with Regards to Climate Risk and Sustainability Objectives,"Future development in cities needs to manage increasing populations, climate-related risks, and sustainable development objectives such as reducing greenhouse gas emissions. Planners therefore face a challenge of multidimensional, spatial optimization in order to balance potential tradeoffs and maximize synergies between risks and other objectives. To address this, a spatial optimization framework has been developed. This uses a spatially implemented genetic algorithm to generate a set of Pareto-optimal results that provide planners with the best set of trade-off spatial plans for six risk and sustainability objectives: (i) minimize heat risks, (ii) minimize flooding risks, (iii) minimize transport travel costs to minimize associated emissions, (iv) maximize brownfield development, (v) minimize urban sprawl, and (vi) prevent development of greenspace. The framework is applied to Greater London (U.K.) and shown to generate spatial development strategies that are optimal for specific objectives and differ significantly from the existing development strategies. In addition, the analysis reveals tradeoffs between different risks as well as between risk and sustainability objectives. While increases in heat or flood risk can be avoided, there are no strategies that do not increase at least one of these. Tradeoffs between risk and other sustainability objectives can be more severe, for example, minimizing heat risk is only possible if future development is allowed to sprawl significantly. The results highlight the importance of spatial structure in modulating risks and other sustainability objectives. However, not all planning objectives are suited to quantified optimization and so the results should form part of an evidence base to improve the delivery of risk and sustainability management in future urban development.",Mixed,Maybe,Maybe,Maybe,Yes,Mixed/Maybe,Unrated,Maybe,Unrated,Yes,"Doesn't look empirical, but case application could be. Need to check full text.                     ",,,
899901,https://apsis.mcc-berlin.net/scoping/document/193/899901/,Ecosystems-based adaptation: Are we being conned? Evidence from Mexico,"This paper scrutinises claims made about the promise and efficacy of ecosystems-based adaptation (EBA), through an exploration of EBA-relevant interventions in two fieldsites in Mexico. Our data starts to fill important gaps in current global debates about EBA. We find evidence of the important contribution of interventions relevant to EBA objectives at a small scale and under very specific conditions. However, the viability of similar interventions is substantially reduced, and arguably rendered null, as an incentive for conservation in a more populous fieldsites. Furthermore, evidence suggests that other adaptation options risked being overlooked if the context were viewed solely through the lens of EBA. We conclude that EBA needs to: a) engage with and address the trade-offs which characterised earlier attempts to integrate conservation and development, and; b) acknowledge the implications for its objectives of a globally predominant, neoliberal political economy.",Mixed,Yes,Maybe,Maybe,Maybe,Mixed/Maybe,Yes,Unrated,Unrated,Unrated,,,,not entirely sure what this is about                    
1002779,https://apsis.mcc-berlin.net/scoping/document/193/1002779/,Climate change vulnerability in urban slum communities: Investigating household adaptation and decision-making capacity in the Indian Himalaya,"Climate change is predicted to have severe impacts on mountainous regions, including urban settlements, and livelihoods of the urban poor. Adaptive capacity for marginalized groups is largely determined by household-level resources and decision-making capacity. This study investigated the vulnerability status and prevalent adaptation strategies of urban slum dwellers in Dehradun, Indian Himalayas, using a pre-tested questionnaire covering household characteristics and indicators of vulnerability, in face-to-face interviews with the head of 122 randomly selected households in four slums. We found that overall vulnerability was very high, with very low absorptive and coping capacity for potential impacts of climate change. Moreover, vulnerability and coping strategies were socially differentiated in terms of the decision-making capability and resource capacity of households. Two groups per category (good and bad decision makers; poor and poorer households) were distinguished. The exposure dimension of vulnerability differed significantly by resource capacity and decision capability. However, the sensitivity dimension of vulnerability did not differ between the groups, while the adaptive capacity dimension of vulnerability differed depending on decision-making capability. In designing appropriate strategies for long-term disaster mitigation for urban slums, it is thus important to address slum socio-ecology and the capability and capacity of slum dwellers.",Yes,Yes,Yes,Yes,Yes,Mixed/Maybe,Maybe,Unrated,Unrated,Maybe,"Possibly relevant to D2, but not clear if there is really response beyond adaptive capacity, and if these are directly linked to risk reduction. Would need to look at full text.  ",,,
1060642,https://apsis.mcc-berlin.net/scoping/document/193/1060642/,Proactive energy management of solar greenhouses with risk assessment to enhance smart specialisation in China,"For better time-allocation of stored energy, the solar greenhouse (SGH) is equipped with some storage devices designed economically for local weather: wall storage actively managed with energy-store/retrieve fans and Safety Energy (SE which is a solar collector and fully thermally isolated heat tank) designed for non-regular extreme weather. A proactive energy management process, addressing the optimal energy utilisation through dynamic cooperation of the wall and the SE, is presented in this paper. Based on probabilistic weather forecast and a SGH thermal model, found by system identification, the operation set-points are optimised proactively by minimising the plant probable thermal ""cost"" and weather-related risk in a scheduling period to take pre-emptory action against potential emergencies. The optimisation is formulated in a two-level control scheme. A master problem optimises the primary (wall-soil) storage operation against the expected weather, and a sub-problem operates the SE as a supplement to the limited wall storage in order to create a better indoor environment. The main task of the slave problem manager is to find the optimal SE operation under probable extreme weather to keep reserves to minimise any risk of severe crop loss. The overall optimisation is solved by a hybrid evolutionary algorithm based on a genetic algorithm. The tests show good potential for energy saving and crop cold stress minimisation, as well as great tolerance to forecast errors for most of the cases in Monte-Carlo simulation. The capacity of the proposed real world system to implement the tested risk management scheme over web ""recommendations"" satisfies the need to close the loop of an effective Internet of Things (IoT) system, based on the MACQU (Management And Control for Quality) technological platform. (C) 2017 IAgrE. Published by Elsevier Ltd. All rights reserved.",Mixed,No,Maybe,No,No,Mixed/Maybe,Unrated,No,Unrated,Unrated,Mitigation,,,
1254310,https://apsis.mcc-berlin.net/scoping/document/193/1254310/,Adaptation by the least vulnerable: Managing climate and disaster risks in Finland,"Disaster risk reduction (DRR) and climate change adaptation (CCA) literature has traditionally focused on the countries and regions hit hardest by natural hazards. In this paper, we take a different perspective by turning our eyes upon Finland, a Nordic welfare state and a low vulnerability and exposure society. We analyse and discuss how well the existing DRR and CCA approaches reflect the perspective of the least vulnerable countries and whether the current ways of determining vulnerability and exposure neglect some risks or hinder the seizing opportunities brought by climate change. This paper is based on data gathered in a survey, interviews and workshops in two research projects which analysed weather and climate related risks in Finland. We conclude that disaster risk assessments need to be contingent and account for social and economic contexts. In an institutionally well-functioning welfare society, vulnerability assessments should emphasize relative changes in perceived social trends and social cohesion. Exposure should not be limited to direct geographical or physical exposure to local natural hazards. Successful opportunity identification can help improve DRR at home and abroad. In general, the role of political systems and culture as enabling factors for DRR and CCA need further study.",Yes,Yes,Yes,Yes,Yes,Mixed/Maybe,No,Unrated,No,No,"empirical, but not empirical on responses. focused on vulnerability/risk assessment.",,,
1277265,https://apsis.mcc-berlin.net/scoping/document/193/1277265/,A fuzzy multicriteria categorization of the GALDIT method to assess seawater intrusion vulnerability of coastal aquifers,"Groundwater constitutes the primary source of fresh water for N1.2 billion people living in coastal zones. However, the threat of seawater intrusion iswidespread in coastal aquifers mainly due to overexploitation of groundwater. In the present study, a modified fuzzy multicriteria categorization into non-ordered categories method was developed in order to modify the standard GALDIT method and assess seawater intrusion vulnerability in a coastal aquifer of northern Greece. The method is based on six parameters: groundwater occurrence, aquifer hydraulic conductivity, groundwater level, distance from the shore, impact of the existing status of seawater intrusion, and aquifer thickness. Initially, the originalmethodwas applied and revealed a zone of high vulnerability running parallel to the coastline and covering an area of 8.6 km(2). Themodified GALDIT-Fmethod achieved higher discretization of vulnerability zones which is essential to build a rational management plan to prevent seawater intrusion. The GALDIT-F approach also distinguished an area of the aquifer that is influenced by geothermal fluids. In total, twenty-five categories were produced corresponding to different vulnerability degrees according to the initial method (High, Moderate, Low) as well as the area influenced by geothermal fluids. Finally, a road map was developed in order to adapt management strategies to GALDIT-F categories and prevent and mitigate seawater intrusion. The proposed management strategies of the coastal aquifer include managed aquifer recharge (MAR) implementation, reallocation of existing wells, optimization of pumping rates during the hydrological year, and a detailed monitoring plan. (C) 2017 Elsevier B. V. All rights reserved.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,"Does refer to a response, but not empirical.",,,
1277970,https://apsis.mcc-berlin.net/scoping/document/193/1277970/,Waterbird communities adjust to climate warming according to conservation policy and species protection status,"Climate change is one of the strongest biodiversity threats. Worse still, the impact of multiple anthropic stressors on species dynamics could complicate adaptation to temperature increase. International conservation policies aim to protect ecosystems against anthropic pressures, but their ability to facilitate adaptation to climate change has yet to be assessed. Using wetland bird monitoring surveys, we evaluated the differences at the country scale of community adjustment to temperature increase of wintering waterbird communities (145 species) according to the implementation of the two main western Palearctic international conservation policies (Bern Convention and Birds Directive) in the Mediterranean basin (2786 sites, 22 countries) over a 22-year period. We showed that thermic community composition increases over time in countries which have enforced conservation policies. We found that strictly protected species under the Birds Directive and the Bern Convention contributed more to this community adjustment than the not strictly protected species. The mechanism results from a population increase in protected warm-dwelling species but not from a decline in cold-dwelling species. This study supports the ability of international conservation policies to mitigate the effect of climate change on animal communities.",Mixed,Yes,Maybe,Yes,Maybe,Mixed/Maybe,Yes,Unrated,Unrated,No,,,,empirical adaptation initiated by humans (conservation policy/protection) but focused on bird population.                    
1280495,https://apsis.mcc-berlin.net/scoping/document/193/1280495/,"Long-Term Changes in the Composition, Ecology, and Structure of Pinus mugo Scrubs in the Apennines (Italy)","Mountain ecosystems are vulnerable because of land-use and climate change. In this study, we performed a re-visitation study using historical and newly collected vegetation plots to explore the primary trends in the floristic, ecological, and structural features of Mediterranean Pinus mugo krummholz over past decades. The plant community composition over time (1992 vs. 2016-17) was analyzed by a detrended correspondence analysis followed by a statistical comparison of time steps and an analysis of the contribution of each species to temporal differences. Ecological and structural changes were analyzed by a permutational multivariate analysis of variance followed by a post hoc comparison. We observed relevant changes in the floristic composition, structure, and ecological characteristics of Pinus mugo scrub. Some subalpine and treeline species that characterize the early stages of Pinus mugo succession declined as several warm-adapted species increased. Furthermore, these changes were most likely due to the natural evolution of high-mountain krummholz combined with a thermophilization process occurring in alpine habitats. In contrast, a small group of cold-adapted species also increased, probably because the patchy spatial pattern of Pinus mugo scrubs gives rise to mesic patches in a matrix of arid grasslands. The re-visitation approach adopted for long-term analysis in this study can potentially be applied to other mountainous regions to better understand long-term ecological changes in high alpine vegetation.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
1283125,https://apsis.mcc-berlin.net/scoping/document/193/1283125/,Facing climate variability in sub-Saharan Africa: analysis of climate-smart agriculture opportunities to manage climate-related risks,"In the literature, a lot of information is available about climate change perceptions and impacts in sub-Saharan Africa. However, there is limited attention in the region to emerging initiatives, technologies and policies that are tailored to building the adaptive capacity of agricultural systems to climate change and variability. In this paper, we discuss the prospects for climate-smart agriculture technologies and enabling policies in dealing with climate change and variability at different sub-regional levels of sub-Saharan Africa to sustain farm productivity and livelihoods of agrarian communities. The review provides substantial information suggesting that without appropriate interventions, climate change and variability will affect agricultural yields, food security and add to the presently unaceptable levels of poverty in sub-Saharan Africa. Although some of them were already existing, the past decades have seen the development and promotion of climate-smart agriculture innovations such as the use of high yielding drought tolerant crop varieties, climate information services, agricultural insurance, agroforestry, water harvesting techniques, integrated soil fertility management practices, etc. In the context of climate change, this appears as a stepping up approach to sustainably improving farm productivity, rural livelihoods and adaptive capacity of farmers and production systems while contributing to mitigation. The development of regional, sub-regional and national climate change policies and plans targeted at mitigating climate change and improving adaptive capacity of the African people have also been developed to enable mainstreaming of climate-smart agriculture into agricultural development plans. Financial commitments from governments and development agencies will be crucial for improving large scale adoption of climate-smart agriculture.",Mixed,No,No,Maybe,No,Unrated,Unrated,Unrated,Unrated,Unrated,Lit review only.    ,,,
